,Iron,Oil,Stone,Aluminum,Gold,Tungsten,Uranium,Copper,Wood
Urumqi, ,oil mine,quarry, , , , , , 
Lanzhou, , ,quarry, , , , , , 
Hohhot,iron mine, ,quarry, , , , , , 
Xining, , ,quarry, , , , , , 
Yinchuan, ,oil mine,quarry, , , , , , 
Xi'An, , ,quarry, , , , , ,logging
Lhasa, ,oil mine,quarry, , , , , ,logging
Chengdu, ,oil mine, , , , , ,copper mine,logging
Chongqing, ,oil mine, , , , , ,copper mine,logging
Kunming, , ,quarry, , , , ,copper mine,logging
Guiyang, ,oil mine, , , , , ,copper mine,logging
Nanning, , ,quarry, , ,tungsten mine, , ,logging
Olgii, , ,quarry, , ,tungsten mine, ,copper mine, 
Ulaangom, , , , , ,tungsten mine, ,copper mine, 
Dund-Us, , , , , ,tungsten mine, ,copper mine,logging
Uliastay, , , , , , , , , 
Moron, , ,quarry,aluminum mine,gold mine, , , , 
Tsetserleg, , ,quarry,aluminum mine,gold mine, , , ,logging
Bayankhongor, , , , ,gold mine, , , , 
Arvayheer, , ,quarry, , , , , , 
Bulgan, , , , , , , , , 
Erdenet, , , ,aluminum mine,gold mine, , , ,logging
Dalandzadgad, ,oil mine, , , , , ,copper mine, 
Suchboatar,iron mine, ,quarry, ,gold mine, , , , 
Darhan,iron mine, ,quarry, ,gold mine, , , ,logging
Dzuunharaa, , , , ,gold mine, , , , 
Ulaanbaatar, , ,quarry, ,gold mine, , , , 
Buyant-Uhaa, ,oil mine, , , , , ,copper mine, 
Ondorhaan, , , , , , , , ,logging
Baruun Urt, , , , , , , , , 
Choybalsan, , ,quarry, , , , , , 
Taiyuan,iron mine, , ,aluminum mine, , , , , 
Zhengzhou, , ,quarry, , , , , ,logging
Hefei, , , , , , ,uranium mine, ,logging
Wuhan, , ,quarry, , , , , ,logging
Nanchang, , ,quarry, , ,tungsten mine, , ,logging
Changsha, , , , , , , , ,logging
Seoul, , ,quarry, , , , , ,logging
Pyongyang,iron mine, , , , , , , ,logging
Changchun, , , ,aluminum mine, , , , ,logging
Harbin, , , ,aluminum mine, , , , ,logging
Nagasaki, , ,quarry, , , , , ,logging
Fukuoka, , ,quarry, , , , , ,logging
Hiroshima, , ,quarry, , , , , ,logging
Osaka, , ,quarry, , , , , ,logging
Kyoto, , ,quarry, , , , , ,logging
Nagoya, ,oil mine, , , , , , ,logging
Kanaza, , ,quarry, , , , , ,logging
Sendai, ,oil mine,quarry, , , , , ,logging
Macao, , ,quarry, , , , , ,logging
Shijianzhuang,iron mine, , , , , , , ,logging
Tianjin, , ,quarry, , , , , , 
Jinan,iron mine,oil mine, , , , , , , 
Nanjing, , ,quarry, , , ,uranium mine, , 
Hangzhou, , ,quarry, , , , , , 
Fuzhou, , ,quarry, , , , , ,logging
Guangzhou, , ,quarry, , , , , ,logging
Haikou, , , , , , , , ,logging
Beijing, , , , , , , , ,logging
Shanghai, , ,quarry, , , , , , 
Hong Kong, , ,quarry, , , , , ,logging
Taipei, ,oil mine, , , , , , ,logging
Liaoning,iron mine, , , , , , , ,logging
Changchun, , , ,aluminum mine, , , , ,logging
Harbin, , , ,aluminum mine, , , , ,logging
Exurbia City,iron mine, , , , , , , ,logging
Hazy Cloud, ,oil mine,quarry, , , , , ,logging
Milabo Port, , ,quarry, , , , ,copper mine,logging
Leh, , , , , , , , , 
Jammu, , , , , , , , ,logging
Shimla, , ,quarry, , , , , ,logging
Chandigarh, , ,quarry, , , , , ,logging
Dehradun, , ,quarry, , , , , , 
Lucknow, , , , , , , , ,logging
Jaipur, , , , , , , ,copper mine,logging
Patna, , ,quarry, , , , , ,logging
Gandhinagar, , , , , , , , ,logging
Bhopal, , , , , , , , ,logging
Raipur,iron mine, , ,aluminum mine, , , , ,logging
Ranchi,iron mine, ,quarry,aluminum mine, , , , ,logging
Bhubaneswar, , ,quarry, , , , , , 
Kolkata, , ,quarry, , , , , ,logging
Gangtok, , ,quarry, , , , , , 
Guwahati, , , , , , , , ,logging
Shillong, , , , , , , , ,logging
Itanagar, ,oil mine, , , , , , ,logging
Kohima, ,oil mine, , , , , , ,logging
Imphal, ,oil mine,quarry, , , , , , 
Agartala, ,oil mine, , , , , , ,logging
Aizawl, , , , , , , , ,logging
Mumbai, , ,quarry, , , , , ,logging
Hyderabad, , , , , , , , , 
Panaji, , ,quarry, , , , , , 
Bengaluru,iron mine, , , ,gold mine, , , ,logging
Vijayawada, ,oil mine,quarry, , , , , ,logging
Thiruvananthapuram, ,oil mine,quarry, , , , , ,logging
Chennai, , ,quarry, , , , , ,logging
Port Blair, , ,quarry, , , , , ,logging
Bhaluwang, , ,quarry, , , , , , 
Salyan, , ,quarry, , , , , , 
Kathmandu, , ,quarry, , , , , , 
Thimphu, , , , , , , , ,logging
Paro, , , , , , , , ,logging
Wangdue Prodrang, , , , , , , , ,logging
Punakha, , , , , , , , ,logging
Rangpur, , , , , , , , ,logging
Rajshahi, ,oil mine, , , , , , ,logging
Mymensingh, , , , , , , , ,logging
Sylhet, ,oil mine,quarry, , , , , ,logging
Khulna, , , , , , , , ,logging
Barisal, , , , , , , , ,logging
Chittagong, ,oil mine,quarry, , , , , ,logging
Dhaka, , , , , , , , ,logging
New Dehli, , ,quarry, , , , ,copper mine,logging
